StartTime,EndTime,TotalProductionCost,Emissions,ActivatedBoilers
7/8/2023 12:00:00 AM,7/8/2023 1:00:00 AM,895,384.85,GB:1.79
7/8/2023 1:00:00 AM,7/8/2023 2:00:00 AM,925,397.75,GB:1.85
7/8/2023 2:00:00 AM,7/8/2023 3:00:00 AM,880,378.4,GB:1.76
7/8/2023 3:00:00 AM,7/8/2023 4:00:00 AM,835,359.05,GB:1.67
7/8/2023 4:00:00 AM,7/8/2023 5:00:00 AM,865,371.95,GB:1.73
7/8/2023 5:00:00 AM,7/8/2023 6:00:00 AM,895,384.85,GB:1.79
7/8/2023 6:00:00 AM,7/8/2023 7:00:00 AM,910,391.3,GB:1.82
7/8/2023 7:00:00 AM,7/8/2023 8:00:00 AM,905,389.15,GB:1.81
7/8/2023 8:00:00 AM,7/8/2023 9:00:00 AM,920,395.6,GB:1.84
7/8/2023 9:00:00 AM,7/8/2023 10:00:00 AM,940,404.2,GB:1.88
7/8/2023 10:00:00 AM,7/8/2023 11:00:00 AM,1000,430,GB:2
7/8/2023 11:00:00 AM,7/8/2023 12:00:00 PM,739.16,0,EK:1.86
7/8/2023 12:00:00 PM,7/8/2023 1:00:00 PM,559.19,0,EK:1.78
7/8/2023 1:00:00 PM,7/8/2023 2:00:00 PM,280.53,0,EK:1.6
7/8/2023 2:00:00 PM,7/8/2023 3:00:00 PM,275.5,0,EK:1.57
7/8/2023 3:00:00 PM,7/8/2023 4:00:00 PM,542.5,0,EK:1.55
7/8/2023 4:00:00 PM,7/8/2023 5:00:00 PM,785,337.55,GB:1.57
7/8/2023 5:00:00 PM,7/8/2023 6:00:00 PM,765,328.95,GB:1.53
7/8/2023 6:00:00 PM,7/8/2023 7:00:00 PM,754.6,972.8,GM:1.52
7/8/2023 7:00:00 PM,7/8/2023 8:00:00 PM,629.07,960,GM:1.5
7/8/2023 8:00:00 PM,7/8/2023 9:00:00 PM,563.6,960,GM:1.5
7/8/2023 9:00:00 PM,7/8/2023 10:00:00 PM,521.95,947.2,GM:1.48
7/8/2023 10:00:00 PM,7/8/2023 11:00:00 PM,559.21,966.4,GM:1.51
7/8/2023 11:00:00 PM,7/9/2023 12:00:00 AM,694.34,992,GM:1.55
7/9/2023 12:00:00 AM,7/9/2023 1:00:00 AM,745.99,985.6,GM:1.54
7/9/2023 1:00:00 AM,7/9/2023 2:00:00 AM,735,316.05,GB:1.47
7/9/2023 2:00:00 AM,7/9/2023 3:00:00 AM,705,303.15,GB:1.41
7/9/2023 3:00:00 AM,7/9/2023 4:00:00 AM,715,307.45,GB:1.43
7/9/2023 4:00:00 AM,7/9/2023 5:00:00 AM,715,307.45,GB:1.43
7/9/2023 5:00:00 AM,7/9/2023 6:00:00 AM,725,311.75,GB:1.45
7/9/2023 6:00:00 AM,7/9/2023 7:00:00 AM,735,316.05,GB:1.47
7/9/2023 7:00:00 AM,7/9/2023 8:00:00 AM,750,322.5,GB:1.5
7/9/2023 8:00:00 AM,7/9/2023 9:00:00 AM,810,348.3,GB:1.62
7/9/2023 9:00:00 AM,7/9/2023 10:00:00 AM,850,365.5,GB:1.7
7/9/2023 10:00:00 AM,7/9/2023 11:00:00 AM,870,374.1,GB:1.74
7/9/2023 11:00:00 AM,7/9/2023 12:00:00 PM,715.51,0,EK:1.68
7/9/2023 12:00:00 PM,7/9/2023 1:00:00 PM,620.43,0,EK:1.58
7/9/2023 1:00:00 PM,7/9/2023 2:00:00 PM,474.77,0,EK:1.45
7/9/2023 2:00:00 PM,7/9/2023 3:00:00 PM,552.52,0,EK:1.43
7/9/2023 3:00:00 PM,7/9/2023 4:00:00 PM,658.35,0,EK:1.42
7/9/2023 4:00:00 PM,7/9/2023 5:00:00 PM,735,316.05,GB:1.47
7/9/2023 5:00:00 PM,7/9/2023 6:00:00 PM,730,313.9,GB:1.46
7/9/2023 6:00:00 PM,7/9/2023 7:00:00 PM,750,322.5,GB:1.5
7/9/2023 7:00:00 PM,7/9/2023 8:00:00 PM,618.86,960,GM:1.5
7/9/2023 8:00:00 PM,7/9/2023 9:00:00 PM,514.81,921.6,GM:1.44
7/9/2023 9:00:00 PM,7/9/2023 10:00:00 PM,501.26,928,GM:1.45
7/9/2023 10:00:00 PM,7/9/2023 11:00:00 PM,513.85,921.6,GM:1.44
7/9/2023 11:00:00 PM,7/10/2023 12:00:00 AM,628.07,940.8,GM:1.47
7/10/2023 12:00:00 AM,7/10/2023 1:00:00 AM,654.15,896,GM:1.4
7/10/2023 1:00:00 AM,7/10/2023 2:00:00 AM,660,283.8,GB:1.32
7/10/2023 2:00:00 AM,7/10/2023 3:00:00 AM,640,275.2,GB:1.28
7/10/2023 3:00:00 AM,7/10/2023 4:00:00 AM,665,285.95,GB:1.33
7/10/2023 4:00:00 AM,7/10/2023 5:00:00 AM,675,290.25,GB:1.35
7/10/2023 5:00:00 AM,7/10/2023 6:00:00 AM,675,290.25,GB:1.35
7/10/2023 6:00:00 AM,7/10/2023 7:00:00 AM,590.17,908.8,GM:1.42
7/10/2023 7:00:00 AM,7/10/2023 8:00:00 AM,526.15,953.6,GM:1.49
7/10/2023 8:00:00 AM,7/10/2023 9:00:00 AM,534.35,992,GM:1.55
7/10/2023 9:00:00 AM,7/10/2023 10:00:00 AM,689.73,1011.2,GM:1.58
7/10/2023 10:00:00 AM,7/10/2023 11:00:00 AM,840,361.2,GB:1.68
7/10/2023 11:00:00 AM,7/10/2023 12:00:00 PM,865,371.95,GB:1.73
7/10/2023 12:00:00 PM,7/10/2023 1:00:00 PM,840,361.2,GB:1.68
7/10/2023 1:00:00 PM,7/10/2023 2:00:00 PM,810,348.3,GB:1.62
7/10/2023 2:00:00 PM,7/10/2023 3:00:00 PM,755,324.65,GB:1.51
7/10/2023 3:00:00 PM,7/10/2023 4:00:00 PM,765,328.95,GB:1.53
7/10/2023 4:00:00 PM,7/10/2023 5:00:00 PM,730,313.9,GB:1.46
7/10/2023 5:00:00 PM,7/10/2023 6:00:00 PM,755,324.65,GB:1.51
7/10/2023 6:00:00 PM,7/10/2023 7:00:00 PM,641.58,992,GM:1.55
7/10/2023 7:00:00 PM,7/10/2023 8:00:00 PM,258.75,979.2,GM:1.53
7/10/2023 8:00:00 PM,7/10/2023 9:00:00 PM,165.93,960,GM:1.5
7/10/2023 9:00:00 PM,7/10/2023 10:00:00 PM,129.79,953.6,GM:1.49
7/10/2023 10:00:00 PM,7/10/2023 11:00:00 PM,269.86,940.8,GM:1.47
7/10/2023 11:00:00 PM,7/11/2023 12:00:00 AM,546.28,1004.8,GM:1.57
7/11/2023 12:00:00 AM,7/11/2023 1:00:00 AM,612.31,979.2,GM:1.53
7/11/2023 1:00:00 AM,7/11/2023 2:00:00 AM,691.41,985.6,GM:1.54
7/11/2023 2:00:00 AM,7/11/2023 3:00:00 AM,710,305.3,GB:1.42
7/11/2023 3:00:00 AM,7/11/2023 4:00:00 AM,730,313.9,GB:1.46
7/11/2023 4:00:00 AM,7/11/2023 5:00:00 AM,740,318.2,GB:1.48
7/11/2023 5:00:00 AM,7/11/2023 6:00:00 AM,726.73,998.4,GM:1.56
7/11/2023 6:00:00 AM,7/11/2023 7:00:00 AM,648.06,1024,GM:1.6
7/11/2023 7:00:00 AM,7/11/2023 8:00:00 AM,663.08,1075.2,GM:1.68
7/11/2023 8:00:00 AM,7/11/2023 9:00:00 AM,755.39,1152,GM:1.8
7/11/2023 9:00:00 AM,7/11/2023 10:00:00 AM,890,382.7,GB:1.78
7/11/2023 10:00:00 AM,7/11/2023 11:00:00 AM,915,393.45,GB:1.83
7/11/2023 11:00:00 AM,7/11/2023 12:00:00 PM,960,412.8,GB:1.92
7/11/2023 12:00:00 PM,7/11/2023 1:00:00 PM,912.6,0,EK:1.93
7/11/2023 1:00:00 PM,7/11/2023 2:00:00 PM,760.05,0,EK:1.91
7/11/2023 2:00:00 PM,7/11/2023 3:00:00 PM,697.34,0,EK:1.72
7/11/2023 3:00:00 PM,7/11/2023 4:00:00 PM,793.92,0,EK:1.64
7/11/2023 4:00:00 PM,7/11/2023 5:00:00 PM,795,341.85,GB:1.59
7/11/2023 5:00:00 PM,7/11/2023 6:00:00 PM,765,328.95,GB:1.53
7/11/2023 6:00:00 PM,7/11/2023 7:00:00 PM,738.62,1030.4,GM:1.61
7/11/2023 7:00:00 PM,7/11/2023 8:00:00 PM,513.42,1081.6,GM:1.69
7/11/2023 8:00:00 PM,7/11/2023 9:00:00 PM,329.85,1056,GM:1.65
7/11/2023 9:00:00 PM,7/11/2023 10:00:00 PM,560.13,1036.8,GM:1.62
7/11/2023 10:00:00 PM,7/11/2023 11:00:00 PM,671.8,998.4,GM:1.56
7/11/2023 11:00:00 PM,7/12/2023 12:00:00 AM,810,348.3,GB:1.62
7/12/2023 12:00:00 AM,7/12/2023 1:00:00 AM,850,365.5,GB:1.7
7/12/2023 1:00:00 AM,7/12/2023 2:00:00 AM,830,356.9,GB:1.66
7/12/2023 2:00:00 AM,7/12/2023 3:00:00 AM,810,348.3,GB:1.62
7/12/2023 3:00:00 AM,7/12/2023 4:00:00 AM,775,333.25,GB:1.55
7/12/2023 4:00:00 AM,7/12/2023 5:00:00 AM,790,339.7,GB:1.58
7/12/2023 5:00:00 AM,7/12/2023 6:00:00 AM,805,346.15,GB:1.61
7/12/2023 6:00:00 AM,7/12/2023 7:00:00 AM,830,356.9,GB:1.66
7/12/2023 7:00:00 AM,7/12/2023 8:00:00 AM,789.04,1120,GM:1.75
7/12/2023 8:00:00 AM,7/12/2023 9:00:00 AM,756.52,1139.2,GM:1.78
7/12/2023 9:00:00 AM,7/12/2023 10:00:00 AM,880,378.4,GB:1.76
7/12/2023 10:00:00 AM,7/12/2023 11:00:00 AM,880,378.4,GB:1.76
7/12/2023 11:00:00 AM,7/12/2023 12:00:00 PM,835.71,0,EK:1.94
7/12/2023 12:00:00 PM,7/12/2023 1:00:00 PM,314.4,0,EK:1.86
7/12/2023 1:00:00 PM,7/12/2023 2:00:00 PM,262.95,0,EK:1.79
7/12/2023 2:00:00 PM,7/12/2023 3:00:00 PM,315.87,0,EK:1.62
7/12/2023 3:00:00 PM,7/12/2023 4:00:00 PM,391.73,0,EK:1.55
7/12/2023 4:00:00 PM,7/12/2023 5:00:00 PM,420.33,0,EK:1.55
7/12/2023 5:00:00 PM,7/12/2023 6:00:00 PM,579.33,0,EK:1.53
7/12/2023 6:00:00 PM,7/12/2023 7:00:00 PM,663.7,0,EK:1.56
7/12/2023 7:00:00 PM,7/12/2023 8:00:00 PM,795,341.85,GB:1.59
7/12/2023 8:00:00 PM,7/12/2023 9:00:00 PM,511.26,1030.4,GM:1.61
7/12/2023 9:00:00 PM,7/12/2023 10:00:00 PM,637.14,1030.4,GM:1.61
7/12/2023 10:00:00 PM,7/12/2023 11:00:00 PM,653.27,1068.8,GM:1.67
7/12/2023 11:00:00 PM,7/13/2023 12:00:00 AM,762.34,1062.4,GM:1.66
7/13/2023 12:00:00 AM,7/13/2023 1:00:00 AM,835,359.05,GB:1.67
7/13/2023 1:00:00 AM,7/13/2023 2:00:00 AM,825,354.75,GB:1.65
7/13/2023 2:00:00 AM,7/13/2023 3:00:00 AM,800,344,GB:1.6
7/13/2023 3:00:00 AM,7/13/2023 4:00:00 AM,775,333.25,GB:1.55
7/13/2023 4:00:00 AM,7/13/2023 5:00:00 AM,800,344,GB:1.6
7/13/2023 5:00:00 AM,7/13/2023 6:00:00 AM,840,361.2,GB:1.68
7/13/2023 6:00:00 AM,7/13/2023 7:00:00 AM,855,367.65,GB:1.71
7/13/2023 7:00:00 AM,7/13/2023 8:00:00 AM,851.89,1139.2,GM:1.78
7/13/2023 8:00:00 AM,7/13/2023 9:00:00 AM,877.3,1305.6,GM:2.04
7/13/2023 9:00:00 AM,7/13/2023 10:00:00 AM,1010,434.3,GB:2.02
7/13/2023 10:00:00 AM,7/13/2023 11:00:00 AM,748.4,0,EK:1.8
7/13/2023 11:00:00 AM,7/13/2023 12:00:00 PM,703.99,0,EK:1.73
7/13/2023 12:00:00 PM,7/13/2023 1:00:00 PM,723.14,0,EK:1.72
7/13/2023 1:00:00 PM,7/13/2023 2:00:00 PM,645.98,0,EK:1.62
7/13/2023 2:00:00 PM,7/13/2023 3:00:00 PM,645.98,0,EK:1.62
7/13/2023 3:00:00 PM,7/13/2023 4:00:00 PM,669.05,0,EK:1.67
7/13/2023 4:00:00 PM,7/13/2023 5:00:00 PM,624.73,0,EK:1.61
7/13/2023 5:00:00 PM,7/13/2023 6:00:00 PM,663.27,0,EK:1.65
7/13/2023 6:00:00 PM,7/13/2023 7:00:00 PM,771.67,0,EK:1.65
7/13/2023 7:00:00 PM,7/13/2023 8:00:00 PM,750.78,1068.8,GM:1.67
7/13/2023 8:00:00 PM,7/13/2023 9:00:00 PM,611.35,1075.2,GM:1.68
7/13/2023 9:00:00 PM,7/13/2023 10:00:00 PM,525.46,1036.8,GM:1.62
7/13/2023 10:00:00 PM,7/13/2023 11:00:00 PM,596.65,1030.4,GM:1.61
7/13/2023 11:00:00 PM,7/14/2023 12:00:00 AM,744.29,1088,GM:1.7
7/14/2023 12:00:00 AM,7/14/2023 1:00:00 AM,855,367.65,GB:1.71
7/14/2023 1:00:00 AM,7/14/2023 2:00:00 AM,875,376.25,GB:1.75
7/14/2023 2:00:00 AM,7/14/2023 3:00:00 AM,830,356.9,GB:1.66
7/14/2023 3:00:00 AM,7/14/2023 4:00:00 AM,820,352.6,GB:1.64
7/14/2023 4:00:00 AM,7/14/2023 5:00:00 AM,850,365.5,GB:1.7
7/14/2023 5:00:00 AM,7/14/2023 6:00:00 AM,890,382.7,GB:1.78
7/14/2023 6:00:00 AM,7/14/2023 7:00:00 AM,825.73,1152,GM:1.8
7/14/2023 7:00:00 AM,7/14/2023 8:00:00 AM,816.56,1139.2,GM:1.78
7/14/2023 8:00:00 AM,7/14/2023 9:00:00 AM,910,391.3,GB:1.82
7/14/2023 9:00:00 AM,7/14/2023 10:00:00 AM,950,408.5,GB:1.9
7/14/2023 10:00:00 AM,7/14/2023 11:00:00 AM,930,399.9,GB:1.86
7/14/2023 11:00:00 AM,7/14/2023 12:00:00 PM,940,404.2,GB:1.88
7/14/2023 12:00:00 PM,7/14/2023 1:00:00 PM,915,393.45,GB:1.83
7/14/2023 1:00:00 PM,7/14/2023 2:00:00 PM,880,378.4,GB:1.76
7/14/2023 2:00:00 PM,7/14/2023 3:00:00 PM,815,350.45,GB:1.63
7/14/2023 3:00:00 PM,7/14/2023 4:00:00 PM,785,337.55,GB:1.57
7/14/2023 4:00:00 PM,7/14/2023 5:00:00 PM,775,333.25,GB:1.55
7/14/2023 5:00:00 PM,7/14/2023 6:00:00 PM,770,331.1,GB:1.54
7/14/2023 6:00:00 PM,7/14/2023 7:00:00 PM,704.67,998.4,GM:1.56
7/14/2023 7:00:00 PM,7/14/2023 8:00:00 PM,485.82,998.4,GM:1.56
7/14/2023 8:00:00 PM,7/14/2023 9:00:00 PM,497.57,1017.6,GM:1.59
7/14/2023 9:00:00 PM,7/14/2023 10:00:00 PM,632.62,1004.8,GM:1.57
7/14/2023 10:00:00 PM,7/14/2023 11:00:00 PM,775,333.25,GB:1.55
7/14/2023 11:00:00 PM,7/15/2023 12:00:00 AM,810,348.3,GB:1.62
