StartTime,EndTime,TotalProductionCost,Emissions,ActivatedBoilers
08/07/2023 00:00:00,08/07/2023 01:00:00,895,384.85,GB:1.79
08/07/2023 01:00:00,08/07/2023 02:00:00,925,397.75,GB:1.85
08/07/2023 02:00:00,08/07/2023 03:00:00,880,378.4,GB:1.76
08/07/2023 03:00:00,08/07/2023 04:00:00,835,359.05,GB:1.67
08/07/2023 04:00:00,08/07/2023 05:00:00,865,371.95,GB:1.73
08/07/2023 05:00:00,08/07/2023 06:00:00,895,384.85,GB:1.79
08/07/2023 06:00:00,08/07/2023 07:00:00,910,391.3,GB:1.82
08/07/2023 07:00:00,08/07/2023 08:00:00,905,389.15,GB:1.81
08/07/2023 08:00:00,08/07/2023 09:00:00,920,395.6,GB:1.84
08/07/2023 09:00:00,08/07/2023 10:00:00,940,404.2,GB:1.88
08/07/2023 10:00:00,08/07/2023 11:00:00,1000,430,GB:2
08/07/2023 11:00:00,08/07/2023 12:00:00,739.16,0,EK:1.86
08/07/2023 12:00:00,08/07/2023 13:00:00,559.19,0,EK:1.78
08/07/2023 13:00:00,08/07/2023 14:00:00,280.53,0,EK:1.6
08/07/2023 14:00:00,08/07/2023 15:00:00,275.5,0,EK:1.57
08/07/2023 15:00:00,08/07/2023 16:00:00,542.5,0,EK:1.55
08/07/2023 16:00:00,08/07/2023 17:00:00,785,337.55,GB:1.57
08/07/2023 17:00:00,08/07/2023 18:00:00,765,328.95,GB:1.53
08/07/2023 18:00:00,08/07/2023 19:00:00,754.6,972.8,GM:1.52
08/07/2023 19:00:00,08/07/2023 20:00:00,629.07,960,GM:1.5
08/07/2023 20:00:00,08/07/2023 21:00:00,563.6,960,GM:1.5
08/07/2023 21:00:00,08/07/2023 22:00:00,521.95,947.2,GM:1.48
08/07/2023 22:00:00,08/07/2023 23:00:00,559.21,966.4,GM:1.51
08/07/2023 23:00:00,09/07/2023 00:00:00,694.34,992,GM:1.55
09/07/2023 00:00:00,09/07/2023 01:00:00,745.99,985.6,GM:1.54
09/07/2023 01:00:00,09/07/2023 02:00:00,735,316.05,GB:1.47
